ï..comunidad,num.entrevista,venta,tipo.mercado.venta,no.productos,distancia,distancia.km,tiempo,tiempo.min,tipo de carretera
Matlahuacala,16,acopiador,nacional,1,larga,NA,mucho,NA,mixta
Matlahuacala,16,Coyomeapan,municipal,2,corta,11,poco,29,mixta
Matlahuacala,16,Tehuacan,regional,1,larga,72.1,mucho,114,mixta
Matlahuacala,17,Ajalpan,micro-regional,1,media,53.3,medio,78,mixta
Matlahuacala,17,Coyomeapan,municipal,24,corta,11,poco,29,mixta
Matlahuacala,18,acopiador,nacional,8,larga,NA,mucho,NA,mixta
Matlahuacala,19,Ajalpan,micro-regional,1,media,53.3,medio,78,mixta
Matlahuacala,19,interna,comunitario,2,NA,0,NA,0,NA
Matlahuacala,20,Ajalpan,micro-regional,5,media,53.3,medio,78,mixta
Matlahuacala,21,Coyomeapan,municipal,4,corta,11,poco,29,mixta
Matlahuacala,22,Coyomeapan,municipal,12,corta,11,poco,29,mixta
Matlahuacala,23,acopiador,nacional,9,larga,NA,mucho,NA,mixta
Matlahuacala,23,Coyomeapan,municipal,9,corta,11,poco,29,mixta
Matlahuacala,24,Coyomeapan,municipal,6,corta,11,poco,29,mixta
Matlahuacala,25,Coyomeapan,municipal,6,corta,11,poco,29,mixta
Matlahuacala,26,acopiador,nacional,1,larga,NA,mucho,NA,mixta
Matlahuacala,26,Coyomeapan,municipal,11,corta,11,poco,29,mixta
Matlahuacala,26,interna,comunitario,4,NA,0,NA,0,NA
Matlahuacala,27,acopiador,nacional,3,larga,NA,mucho,NA,mixta
Matlahuacala,27,interna,comunitario,1,NA,0,NA,0,NA
Matlahuacala,28,acopiador,nacional,4,larga,NA,mucho,NA,mixta
Matlahuacala,29,Ajalpan,micro-regional,5,media,53.3,medio,78,mixta
Matlahuacala,30,Coyomeapan,municipal,33,corta,11,poco,29,mixta
Xochitlalpa,1,Coyomeapan,municipal,20,corta,25.8,poco,55,mixta
Xochitlalpa,1,interna,comunitario,1,NA,0,NA,0,NA
Xochitlalpa,2,SanSebastian,municipal,8,media,39,medio,67,mixta
Xochitlalpa,3,Coxcatlan,local,3,corta,24.1,poco,47,mixta
Xochitlalpa,3,SanSebastian,municipal,3,media,39,medio,67,mixta
Xochitlalpa,4,Coyomeapan,municipal,19,corta,25.8,poco,55,mixta
Xochitlalpa,5,Coyomeapan,municipal,16,corta,25.8,poco,55,mixta
Xochitlalpa,5,SanJose,local,4,larga,74,poco,45.5,mixta
Xochitlalpa,5,SanSebastian,municipal,2,media,39,medio,67,mixta
Xochitlalpa,5,Zoquitlan,micro-regional,13,corta,23.9,poco,49,mixta
Xochitlalpa,6,Coxcatlan,local,8,corta,24.1,poco,47,mixta
Xochitlalpa,6,Coyomeapan,municipal,7,corta,25.8,poco,55,mixta
Xochitlalpa,6,SanSebastian,municipal,7,media,39,medio,67,mixta
Xochitlalpa,7,SanSebastian,municipal,15,media,39,medio,67,mixta
Xochitlalpa,8,Zoquitlan,micro-regional,9,corta,23.9,poco,49,mixta
Xochitlalpa,9,Ajalpan,micro-regional,27,media,43.6,medio,75,mixta
Xochitlalpa,9,Coyomeapan,municipal,26,corta,25.8,poco,55,mixta
Xochitlalpa,10,acopiador,nacional,2,larga,NA,mucho,NA,mixta
Xochitlalpa,11,Coyomeapan,municipal,1,corta,25.8,poco,55,mixta
Xochitlalpa,11,interna,comunitario,1,NA,0,NA,0,NA
Xochitlalpa,11,SanSebastian,municipal,11,media,39,medio,67,mixta
Xochitlalpa,12,Coyomeapan,municipal,1,corta,25.8,poco,55,mixta
Xochitlalpa,12,SanSebastian,municipal,8,media,39,medio,67,mixta
Xochitlalpa,13,SanSebastian,municipal,11,media,39,medio,67,mixta
Xochitlalpa,14,SanSebastian,municipal,21,media,39,medio,67,mixta
Xochitlalpa,15,interna,comunitario,2,NA,0,NA,0,NA
Xochitlalpa,16,SanSebastian,municipal,17,media,39,medio,67,mixta
Xochitlalpa,17,Coyomeapan,municipal,6,corta,25.8,poco,55,mixta
Xochitlalpa,17,Zoquitlan,micro-regional,7,corta,23.9,poco,49,mixta
