comunidad,num.entrevista,nombre.recurso,tipo.terreno,terreno.tamano.m2.,riego,manejo.producto,manejo.herramienta,manejo.estructura
Aticpac,2,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,2,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,2,zarzamora,monte,NA,NA,NA,manual,NA
Aticpac,2,zacate_limon,huerto,0,temporal,NA,manual,NA
Aticpac,2,lima,huerto,0,temporal,NA,manual,NA
Aticpac,2,lima,huerto,0,temporal,NA,manual,NA
Aticpac,2,oloxochitl,huerto,0,temporal,NA,manual,NA
Aticpac,2,oloxochitl,huerto,0,temporal,NA,manual,NA
Aticpac,2,mandarina,huerto,0,temporal,NA,manual,NA
Aticpac,2,mandarina,huerto,0,temporal,NA,manual,NA
Aticpac,2,laurel,monte,NA,NA,NA,manual,NA
Aticpac,2,laurel,monte,NA,NA,NA,manual,NA
Aticpac,2,iztananacatl,monte,NA,NA,NA,manual,NA
Aticpac,2,iztananacatl,parcela,0,temporal,NA,manual,NA
Aticpac,2,chilnanacatl,monte,NA,NA,NA,manual,NA
Aticpac,2,xocopaztle,monte,NA,NA,NA,manual,NA
Aticpac,2,maiz,parcela,0,temporal,abono_quimico,manual,NA
Aticpac,2,calabaza,parcela,0,temporal,abono_quimico,manual,NA
Aticpac,2,frijol,parcela,0,temporal,abono_quimico,manual,NA
Aticpac,2,velikmoli,huerto,0,temporal,NA,manual,NA
Aticpac,2,velikmoli,huerto,0,temporal,NA,manual,NA
Aticpac,3,platano,huerto,314.4,temporal,NA,manual,NA
Aticpac,3,cafe,huerto,314.4,temporal,NA,manual,NA
Aticpac,3,tepexilotl,huerto,314.4,temporal,NA,manual,NA
Aticpac,3,velikmoli,huerto,314.4,temporal,NA,manual,NA
Aticpac,3,velikmoli,huerto,314.4,temporal,NA,manual,NA
Aticpac,3,maiz,parcela,5030.4,temporal,NA,manual,NA
Aticpac,3,frijol,parcela,5030.4,temporal,NA,manual,NA
Aticpac,3,tzopelikilitl,parcela,5030.4,temporal,NA,manual,NA
Aticpac,3,aztokilitl,parcela,5030.4,temporal,NA,manual,NA
Aticpac,3,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,3,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,3,zarzamora,monte,NA,NA,NA,manual,NA
Aticpac,3,iztananacatl,monte,NA,NA,NA,manual,NA
Aticpac,3,jonote,monte,NA,NA,NA,manual,NA
Aticpac,3,chilnanacatl,monte,NA,NA,NA,manual,NA
Aticpac,4,iztananacatl,parcela,150,temporal,NA,manual,NA
Aticpac,4,zapalmatzi,parcela,150,temporal,NA,manual,NA
Aticpac,4,oconanacatl,monte,NA,NA,NA,manual,NA
