comunidad,num.entrevista,nombre.recurso,tipo.recurso,uso,venta,tipo.mercado.venta,distancia,distancia.km,tiempo,tiempo.min,tipo.de.carretera,tipologia.mercado,compra,manejo,tipo.terreno,tamano.huerto.m2,tamano.parcela.m2,tamano.invernadero.m2,tamano.cultivo.m2,tamano.cultivo,terreno.propiedad,percepcion.clima,riego,manejo.producto,manejo.herramienta,manejo.estructura,escolaridad.grado,escolaridad,origen,lenguas,lengua,nahuatl,espanol,migracion,campesino,productor,pastor,comercio,tendero,jornalero,otro
Aticpac,1,maiz,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,domesticado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,calabaza,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,maiz,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,domesticado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,plaguicida,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,calabaza,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,plaguicida,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,frijol,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,plaguicida,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,frijol,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,papalokilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tekilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tomakilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,xoyatl,planta,construccion,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tepexilotl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,promovido,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,metlapiltepexilotl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,pino,planta,lena,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,caoba,planta,lena,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,nuez,planta,lena,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,encino,planta,lena,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,guayaba,planta,lena,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,guayaba,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tzopelikilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,aztokilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,mazakilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,hueykilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,laurel,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,laurel,planta,medicinal,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,papaya,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tehuantekilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,zarzamora,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,pipitza,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,Coyomeapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,copal,planta,ceremonial,NA,NA,NA,NA,NA,NA,NA,compra,Coyomeapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,jitomate,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,Coyomeapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,ajo,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,Coyomeapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,cebolla,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,Coyomeapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,chile,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,Coyomeapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,chiltepe,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,interna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,2,tepexilotl,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,promovido,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,tepexilotl,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,promovido,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,tepexilotl,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,promovido,parcela,0,-,0,-,-,rentado,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,tepexilotl,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,promovido,parcela,0,-,0,-,-,rentado,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,platano,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,platano,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,platano,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,cultivado,parcela,0,-,0,-,-,rentado,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,platano,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,tolerado,parcela,0,-,0,-,-,rentado,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,naranja,planta,lena,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,naranja,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,naranja,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,cafe,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_quimico,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,cafe,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_quimico,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,cafe,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,cultivado,parcela,0,-,0,-,-,rentado,caliente_humedo,temporal,abono_quimico,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,cafe,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,cultivado,parcela,0,-,0,-,-,rentado,caliente_humedo,temporal,abono_quimico,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,chayote,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
